Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ConsoleApp1\ConsoleApp1.csproj,File,ConsoleApp1\ConsoleApp1.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Recurly\Recurly.csproj,File,Recurly\Utils.cs,90,20,T:System.Uri,,,,,"qString.Add($""{param.Key}={Uri.EscapeDataString(stringRepr)}"");"
